file_name,package_name,app_name,version_name,activity_name,page_fingerprint,segment_index,depth,device_model,screen_resolution,android_version,capture_time
tv_danmaku_bili__MainActivityV2_b226c47c_s0_1784226105290.png,tv.danmaku.bili,tv.danmaku.bili,8.98.0,tv.danmaku.bili/.MainActivityV2,b226c47cd69200e2692745fc22029189,0,0,PCT-AL10,1080x2310,10,2026-07-17T02:21:46.304574
tv_danmaku_bili_com_bilibili_search2_main_BiliMainSearchActi_2449c137_s0_1784226120195.png,tv.danmaku.bili,tv.danmaku.bili,8.98.0,tv.danmaku.bili/com.bilibili.search2.main.BiliMainSearchActivity,2449c1379a106c9a7e4031ecd1721ffa,0,1,PCT-AL10,1080x2310,10,2026-07-17T02:22:00.828213
tv_danmaku_bili_com_bilibili_biligame_ui_GameCenterHomeActiv_963dfc99_s0_1784226136421.png,tv.danmaku.bili,tv.danmaku.bili,8.98.0,tv.danmaku.bili/com.bilibili.biligame.ui.GameCenterHomeActivity,963dfc9926ef33ce9cf70dae0c42c300,0,1,PCT-AL10,1080x2310,10,2026-07-17T02:22:17.390074
tv_danmaku_bili_kntr_common_compose_launcher_ComposeContaine_d29b591f_s0_1784226146270.png,tv.danmaku.bili,tv.danmaku.bili,8.98.0,tv.danmaku.bili/kntr.common.compose.launcher.ComposeContainerActivity,d29b591fa5b12d17893c971621ae4d60,0,1,PCT-AL10,1080x2310,10,2026-07-17T02:22:26.930351
tv_danmaku_bili_com_bilibili_lib_ui_GeneralActivity_ac471559_s0_1784226168957.png,tv.danmaku.bili,tv.danmaku.bili,8.98.0,tv.danmaku.bili/com.bilibili.lib.ui.GeneralActivity,ac471559fa19e2b82f1c019e58c68501,0,1,PCT-AL10,1080x2310,10,2026-07-17T02:22:49.619672
tv_danmaku_bili_com_bilibili_ship_theseus_detail_UnitedBizDe_ba98bd4f_s0_1784226186156.png,tv.danmaku.bili,tv.danmaku.bili,8.98.0,tv.danmaku.bili/com.bilibili.ship.theseus.detail.UnitedBizDetailsActivity,ba98bd4ff5726a0d6946a9272da389f6,0,1,PCT-AL10,1080x2310,10,2026-07-17T02:23:06.831114
tv_danmaku_bili_com_bilibili_ship_theseus_detail_UnitedBizDe_12eda083_s0_1784226295402.png,tv.danmaku.bili,tv.danmaku.bili,8.98.0,tv.danmaku.bili/com.bilibili.ship.theseus.detail.UnitedBizDetailsActivity,12eda0837cc5973e298f18504ed5e55c,0,1,PCT-AL10,1080x2310,10,2026-07-17T02:24:56.412296
tv_danmaku_bili_com_bilibili_ship_theseus_detail_UnitedBizDe_0adaa926_s0_1784226313868.png,tv.danmaku.bili,tv.danmaku.bili,8.98.0,tv.danmaku.bili/com.bilibili.ship.theseus.detail.UnitedBizDetailsActivity,0adaa926f9ea2060a40f081e8220076d,0,1,PCT-AL10,1080x2310,10,2026-07-17T02:25:14.685643
tv_danmaku_bili_kntr_common_compose_launcher_ComposeContaine_ee2d88dc_s0_1784226339250.png,tv.danmaku.bili,tv.danmaku.bili,8.98.0,tv.danmaku.bili/kntr.common.compose.launcher.ComposeContainerActivity,ee2d88dc50bb994bb3effd1b9b255c6a,0,1,PCT-AL10,1080x2310,10,2026-07-17T02:25:39.873873
tv_danmaku_bili_com_bilibili_biligame_ui_GameCenterHomeActiv_ebe996a1_s0_1784226357347.png,tv.danmaku.bili,tv.danmaku.bili,8.98.0,tv.danmaku.bili/com.bilibili.biligame.ui.GameCenterHomeActivity,ebe996a148f8039fdde58e39fd5e2912,0,1,PCT-AL10,1080x2310,10,2026-07-17T02:25:58.516714
tv_danmaku_bili_com_bilibili_biligame_ui_search_v2_GameSearc_b72a3090_s0_1784226376228.png,tv.danmaku.bili,tv.danmaku.bili,8.98.0,tv.danmaku.bili/com.bilibili.biligame.ui.search.v2.GameSearchActivityV2,b72a3090e9c25dad789e15cfa3884bd5,0,2,PCT-AL10,1080x2310,10,2026-07-17T02:26:16.996062
tv_danmaku_bili_com_bilibili_biligame_download_v2_ui_GameDow_a0254497_s0_1784226392582.png,tv.danmaku.bili,tv.danmaku.bili,8.98.0,tv.danmaku.bili/com.bilibili.biligame.download.v2.ui.GameDownloadManagerActivityV2,a02544977bf85820f4e82e3f1dd8247f,0,2,PCT-AL10,1080x2310,10,2026-07-17T02:26:33.284758
tv_danmaku_bili_com_bilibili_biligame_ui_notice2_MessageNoti_147a6158_s0_1784226401173.png,tv.danmaku.bili,tv.danmaku.bili,8.98.0,tv.danmaku.bili/com.bilibili.biligame.ui.notice2.MessageNoticeActivityV2,147a615878f2759089fad725a28b3e44,0,2,PCT-AL10,1080x2310,10,2026-07-17T02:26:41.785066
tv_danmaku_bili_com_bilibili_biligame_ui_GameCenterHomeActiv_3602009a_s0_1784226460440.png,tv.danmaku.bili,tv.danmaku.bili,8.98.0,tv.danmaku.bili/com.bilibili.biligame.ui.GameCenterHomeActivity,3602009a16b3ad53e5e38e28ca787ebf,0,2,PCT-AL10,1080x2310,10,2026-07-17T02:27:41.496077
